Fertilizer,Temperature,Humidity,Moisture,Soil Type,Nitrogen,Potassium,Phosphorus
Urea,20,50,60,Loamy/Sandy,498,0,0
Urea,31,61,52,Loamy/Sandy,431,12,4
Urea,21,60,48,Loamy/Sandy,272,2,6
Urea,20,59,50,Loamy/Sandy,314,6,6
Urea,30,56,52,Loamy/Sandy,319,2,9
Urea,23,67,44,Loamy/Sandy,435,9,3
Urea,31,55,59,Loamy/Sandy,342,2,4
Urea,29,52,47,Loamy/Sandy,295,20,6
Urea,22,68,50,Loamy/Sandy,496,17,6
Urea,23,52,45,Loamy/Sandy,425,7,5
Urea,33,50,53,Loamy/Sandy,239,7,3
Urea,27,65,60,Loamy/Sandy,481,4,10
Urea,25,61,42,Loamy/Sandy,373,7,0
Urea,35,65,43,Loamy/Sandy,293,6,0
Urea,25,54,58,Loamy/Sandy,419,16,5
Urea,24,60,58,Loamy/Sandy,386,8,9
Urea,34,64,47,Loamy/Sandy,264,9,5
Urea,31,57,50,Loamy/Sandy,357,8,0
Urea,32,67,54,Loamy/Sandy,236,13,9
Urea,21,52,47,Loamy/Sandy,248,16,8
Urea,33,54,50,Loamy/Sandy,300,13,10
Urea,32,56,43,Loamy/Sandy,324,6,4
Urea,34,59,53,Loamy/Sandy,421,3,7
Urea,22,53,60,Loamy/Sandy,312,2,2
Urea,24,51,58,Loamy/Sandy,452,17,7
Urea,27,68,54,Loamy/Sandy,371,9,10
Urea,25,58,40,Loamy/Sandy,325,5,10
Urea,33,69,53,Loamy/Sandy,307,1,7
Urea,20,63,56,Loamy/Sandy,369,19,8
Urea,24,53,56,Loamy/Sandy,328,10,9
Urea,31,50,53,Loamy/Sandy,303,5,6
Urea,22,59,57,Loamy/Sandy,494,2,6
Urea,31,66,60,Loamy/Sandy,385,19,0
Urea,24,65,49,Loamy/Sandy,271,8,5
Urea,30,54,41,Loamy/Sandy,350,3,6
Urea,27,60,55,Loamy/Sandy,264,9,7
Urea,30,60,44,Loamy/Sandy,377,18,9
Urea,20,60,56,Loamy/Sandy,273,8,10
Urea,28,56,52,Loamy/Sandy,431,8,4
Urea,28,55,40,Loamy/Sandy,462,8,4
Urea,24,52,44,Loamy/Sandy,204,4,7
Urea,24,57,45,Loamy/Sandy,242,1,10
Urea,22,61,42,Loamy/Sandy,485,10,4
Urea,21,52,40,Loamy/Sandy,220,2,10
Urea,23,67,49,Loamy/Sandy,321,10,7
Urea,26,66,50,Loamy/Sandy,320,15,0
Urea,23,57,54,Loamy/Sandy,269,18,8
Urea,29,67,47,Loamy/Sandy,374,9,6
Urea,22,65,45,Loamy/Sandy,356,0,8
Urea,32,62,56,Loamy/Sandy,237,0,2
Urea,29,63,59,Loamy/Sandy,270,20,9
Urea,30,69,40,Loamy/Sandy,488,18,2
Urea,29,51,40,Loamy/Sandy,378,12,1
Urea,24,56,40,Loamy/Sandy,309,19,9
Urea,28,59,52,Loamy/Sandy,484,4,3
Urea,33,51,41,Loamy/Sandy,404,0,6
Urea,31,53,56,Loamy/Sandy,315,9,8
Urea,25,50,60,Loamy/Sandy,253,14,3
Urea,27,63,42,Loamy/Sandy,471,11,8
Urea,22,64,45,Loamy/Sandy,200,2,0
Urea,25,64,45,Loamy/Sandy,482,5,1
Urea,22,56,40,Loamy/Sandy,470,13,8
Urea,32,51,57,Loamy/Sandy,310,5,1
Urea,20,66,58,Loamy/Sandy,215,15,9
Urea,30,52,44,Loamy/Sandy,227,7,4
Urea,29,60,40,Loamy/Sandy,444,19,1
Urea,32,52,55,Loamy/Sandy,416,18,10
Urea,23,58,60,Loamy/Sandy,372,3,0
Urea,28,57,60,Loamy/Sandy,474,4,3
Urea,22,67,56,Loamy/Sandy,347,1,7
Urea,35,53,47,Loamy/Sandy,387,20,5
Urea,26,59,44,Loamy/Sandy,435,6,5
Urea,27,51,54,Loamy/Sandy,220,8,1
Urea,26,61,43,Loamy/Sandy,264,3,0
Urea,30,59,54,Loamy/Sandy,227,14,5
Urea,33,53,53,Loamy/Sandy,470,6,4
Urea,26,60,46,Loamy/Sandy,274,2,5
Urea,34,58,49,Loamy/Sandy,378,6,8
Urea,28,51,48,Loamy/Sandy,463,13,2
Urea,27,50,57,Loamy/Sandy,315,3,1
Urea,21,60,44,Loamy/Sandy,344,0,9
Urea,27,53,54,Loamy/Sandy,360,15,6
Urea,33,69,52,Loamy/Sandy,340,4,0
Urea,27,52,40,Loamy/Sandy,262,15,2
Urea,25,58,48,Loamy/Sandy,219,14,9
Urea,30,70,49,Loamy/Sandy,250,16,8
Urea,26,68,41,Loamy/Sandy,212,9,10
Urea,30,60,43,Loamy/Sandy,230,14,0
Urea,28,60,46,Loamy/Sandy,287,6,4
Urea,28,61,44,Loamy/Sandy,339,5,10
Urea,34,58,44,Loamy/Sandy,247,13,7
Urea,35,50,43,Loamy/Sandy,240,0,9
Urea,26,69,47,Loamy/Sandy,318,18,8
Urea,21,63,58,Loamy/Sandy,487,4,4
Urea,24,59,43,Loamy/Sandy,298,0,9
Urea,30,55,53,Loamy/Sandy,341,18,6
Urea,29,63,48,Loamy/Sandy,248,0,9
Urea,31,51,49,Loamy/Sandy,399,14,1
Urea,35,54,43,Loamy/Sandy,478,20,1
Urea,27,65,57,Loamy/Sandy,485,16,9
DAP,28,46,35,Neutral/Acidic,181,0,442
DAP,21,59,41,Neutral/Acidic,184,5,450
DAP,23,61,49,Neutral/Acidic,183,0,423
DAP,22,56,51,Neutral/Acidic,195,4,460
DAP,27,53,47,Neutral/Acidic,192,0,449
DAP,22,47,52,Neutral/Acidic,186,1,412
DAP,26,46,54,Neutral/Acidic,181,5,443
DAP,19,62,50,Neutral/Acidic,190,1,450
DAP,25,46,49,Neutral/Acidic,191,5,427
DAP,24,57,50,Neutral/Acidic,188,1,404
DAP,24,47,54,Neutral/Acidic,186,1,409
DAP,25,58,41,Neutral/Acidic,191,2,430
DAP,30,57,38,Neutral/Acidic,194,3,437
DAP,20,53,55,Neutral/Acidic,190,1,420
DAP,23,56,51,Neutral/Acidic,180,5,454
DAP,26,55,42,Neutral/Acidic,185,5,417
DAP,19,55,36,Neutral/Acidic,192,1,428
DAP,24,59,45,Neutral/Acidic,194,5,452
DAP,20,52,42,Neutral/Acidic,189,2,411
DAP,20,63,41,Neutral/Acidic,192,2,452
DAP,24,64,49,Neutral/Acidic,190,3,444
DAP,29,47,47,Neutral/Acidic,184,1,407
DAP,29,46,40,Neutral/Acidic,200,0,444
DAP,29,58,53,Neutral/Acidic,183,3,414
DAP,23,51,41,Neutral/Acidic,190,2,436
DAP,27,48,43,Neutral/Acidic,200,5,455
DAP,25,58,47,Neutral/Acidic,197,0,426
DAP,20,65,44,Neutral/Acidic,193,4,418
DAP,18,52,51,Neutral/Acidic,181,5,404
DAP,29,53,48,Neutral/Acidic,183,4,437
DAP,24,60,51,Neutral/Acidic,181,1,428
DAP,27,47,48,Neutral/Acidic,199,1,445
DAP,18,59,40,Neutral/Acidic,191,5,414
DAP,26,45,52,Neutral/Acidic,186,3,438
DAP,19,56,46,Neutral/Acidic,190,4,417
DAP,26,58,38,Neutral/Acidic,187,1,401
DAP,24,56,52,Neutral/Acidic,196,4,453
DAP,21,61,46,Neutral/Acidic,180,3,458
DAP,28,45,48,Neutral/Acidic,199,0,418
DAP,18,54,36,Neutral/Acidic,197,5,454
DAP,28,65,53,Neutral/Acidic,184,0,444
DAP,18,63,47,Neutral/Acidic,188,4,402
DAP,20,54,48,Neutral/Acidic,185,3,436
DAP,27,45,54,Neutral/Acidic,197,2,414
DAP,22,59,41,Neutral/Acidic,181,3,440
DAP,23,50,35,Neutral/Acidic,191,1,452
DAP,18,53,44,Neutral/Acidic,196,2,454
DAP,21,60,40,Neutral/Acidic,200,2,433
DAP,21,52,37,Neutral/Acidic,184,3,421
DAP,25,56,43,Neutral/Acidic,192,4,457
DAP,18,56,36,Neutral/Acidic,192,2,435
DAP,18,50,52,Neutral/Acidic,180,3,444
DAP,18,54,41,Neutral/Acidic,185,0,426
DAP,28,65,39,Neutral/Acidic,197,4,422
DAP,30,60,50,Neutral/Acidic,198,0,426
DAP,23,53,54,Neutral/Acidic,182,5,404
DAP,27,46,50,Neutral/Acidic,198,3,434
DAP,22,56,55,Neutral/Acidic,200,2,444
DAP,30,51,47,Neutral/Acidic,198,1,407
DAP,18,59,38,Neutral/Acidic,196,3,404
DAP,22,60,52,Neutral/Acidic,181,0,422
DAP,25,53,37,Neutral/Acidic,182,2,410
DAP,28,54,39,Neutral/Acidic,196,4,441
DAP,21,65,36,Neutral/Acidic,198,3,418
